name,mA,aA,mB,aB,mC,aC
1,7181.86406722689,-0.200436974789916,7177.95317647059,239.868974789916,7171.5512605042,119.734420168067
2,7181.86699159664,-0.200436974789916,NA,NA,7171.54161344538,119.734319327731
3,7181.95539495798,-0.164436974789916,7178.29583193277,239.851226890756,7177.2472605042,119.790621848739
4,7181.9548907563,-0.164470588235294,7178.296,239.851226890756,7177.23905882353,119.790621848739
5,7181.82968067227,-0.200201680672269,7178.02258823529,239.868907563025,7171.71435294118,119.736235294118
6,7181.81647058824,-0.199764705882353,7178.05922689076,239.868672268908,7171.81724369748,119.737714285714
7,7182.90127731092,-0.154924369747899,7179.80319327731,239.870621848739,7177.92789915966,119.814655462185
8,NA,NA,7175.74090756302,239.789949579832,NA,NA
9,NA,NA,7175.73341176471,239.789882352941,NA,NA
10,7189.85068907563,-0.0911932773109244,7186.35724369748,239.951092436975,7183.51979831933,119.900067226891
11,7189.83647058823,-0.0912605042016807,7186.34282352941,239.950857142857,7183.50887394958,119.900033613445
12,7178.65334453782,-0.17727731092437,7175.80127731092,239.791092436975,7178.31428571429,119.774521008403
13,NA,NA,7175.79956302521,239.791092436975,NA,NA
14,NA,NA,7175.16749579832,239.775058823529,NA,NA
15,NA,NA,7175.16507563025,239.774957983193,NA,NA
16,NA,NA,NA,NA,7170.96342857143,119.725983193277
17,NA,NA,NA,NA,7170.96084033613,119.725983193277
18,7178.6334789916,-0.177176470588235,7175.77593277311,239.790588235294,7178.33156302521,119.774521008403
19,7178.61512605042,-0.177109243697479,7175.74443697479,239.789983193277,7178.35183193277,119.774386554622
20,7179.06309243698,-0.175495798319328,7176.04857142857,239.79912605042,7178.17421848739,119.776235294118
21,7179.06278991597,-0.175495798319328,7176.04823529412,239.79912605042,7178.17391596639,119.776235294118
22,7188.76810084034,-0.0972100840336134,7185.22853781513,239.930554621849,7182.58100840336,119.898722689076
23,7188.25321008403,-0.098890756302521,7184.70309243697,239.920773109244,7182.11078991597,119.895462184874
24,7189.36403361345,-0.0942521008403361,7185.84060504202,239.940739495798,7183.11825210084,119.899697478992
25,7178.60877310924,-0.177210084033613,NA,NA,NA,NA
26,7178.60342857143,-0.17727731092437,NA,NA,NA,NA
27,7177.45149579832,-0.192672268907563,7175.58053781513,239.780470588235,7177.79327731092,119.769915966387
28,7177.39035294118,-0.193680672268908,7175.50678991597,239.779529411765,7177.7363697479,119.768907563025
29,7178.61431932773,-0.177176470588235,7175.74628571429,239.790016806723,7178.34332773109,119.774352941176
30,7178.61317647059,-0.177176470588235,7175.74773109244,239.790016806723,7178.33707563025,119.774319327731
31,7181.9188907563,-0.177478991596639,7178.21425210084,239.861277310924,7174.66023529412,119.766588235294
32,7181.93536134454,-0.179529411764706,7178.19892436975,239.862084033613,7174.35068907563,119.763630252101
33,NA,NA,7175.59751260504,239.788336134454,NA,NA
34,NA,NA,7175.56820168067,239.787966386555,NA,NA
35,7181.90699159664,-0.175831932773109,7178.2254789916,239.859865546218,7174.93492436975,119.769210084034
36,7180.38779831933,-0.16655462184874,7176.76638655462,239.821109243697,7178.20692436975,119.785008403361
37,NA,NA,7176.7614789916,239.821042016807,NA,NA
38,NA,NA,7175.63072268908,239.788739495798,NA,NA
39,NA,NA,7175.70067226891,239.789378151261,NA,NA
40,7182.87687394958,-0.155126050420168,7179.79082352941,239.870453781513,7177.90736134454,119.814453781513
41,7181.7996302521,-0.200571428571429,7177.89129411765,239.868941176471,7171.48090756303,119.73418487395
42,7181.7996302521,-0.200571428571429,7177.89129411765,239.868941176471,7171.48090756303,119.73418487395
43,7177.50766386555,-0.191731092436975,7175.65186554622,239.781344537815,7177.85136134454,119.77068907563
44,NA,NA,7176.76500840336,239.821075630252,NA,NA
45,7181.95667226891,-0.189478991596639,7178.11381512605,239.866218487395,7172.98773109244,119.749411764706
46,NA,NA,NA,NA,7172.98423529412,119.749378151261
47,7181.99065546218,-0.18836974789916,7178.10121008403,239.865949579832,7173.10961344538,119.750588235294
48,7181.92957983193,-0.166050420168067,7178.29858823529,239.852504201681,7176.9425210084,119.788336134454
49,7182.02810084034,-0.186655462184874,7178.08793277311,239.865647058824,7173.24090756302,119.751596638655
50,7182.07008403361,-0.184773109243697,7178.07455462185,239.865243697479,7173.43031932773,119.753344537815
51,7177.45374789916,-0.193042016806723,NA,NA,NA,NA
52,7177.36514285714,-0.194924369747899,NA,NA,NA,NA
53,7188.77811764706,-0.0971764705882353,7185.23791596639,239.930789915966,7182.5887394958,119.898756302521
54,7182.03842016807,-0.183663865546218,7178.10336134454,239.864705882353,7173.64235294118,119.755394957983
